Hotel Name,City,Country,Max Temp,Lat,Lng,Hotel Name
0,Esperance,AU,57.6,-33.8667,121.9,Best Western
6,Mahibadhoo,MV,80.76,3.7833,72.9667,Coral View Inn
7,Kloulklubed,PW,82.18,7.0419,134.2556,The Adventures Inn
8,Punta Arenas,CL,51.82,-53.15,-70.9167,Hotel Lacolet
11,Hobart,AU,80.46,-42.8794,147.3294,The Old Woolstore Apartment Motel
14,Manokwari,ID,77.94,-0.8667,134.0833,Hotel Arfak
17,Ushuaia,AR,46.02,-54.8,-68.3,Apart Hotel Aires del Beagle
18,Richards Bay,ZA,69.85,-28.783,32.0377,Protea Hotel
19,Garowe,SO,67.6,8.4054,48.4845,Red Sea
20,Kapaa,US,79.12,22.0752,-159.319,Pono Kai Resort
21,Bengkulu,ID,75.9,-3.8004,102.2655,Dena Hotel
25,Ancud,CL,59.29,-41.8697,-73.8203,Cabañas
27,Yulara,AU,82.67,-25.2406,130.9889,Outback Pioneer Hotel & Lodge
28,Angoche,MZ,77.18,-16.2325,39.9086,Hotel Quirimbas
30,Margate,GB,47.7,51.3813,1.3862,The Reading Rooms
31,New Norfolk,AU,80.1,-42.7826,147.0587,Woodbridge on the Derwent
34,Faanui,PF,81.09,-16.4833,-151.75,Oa Oa Lodge
36,Puerto Ayora,EC,84.16,-0.7393,-90.3518,Hostal La Mirada De Solitario George
46,Vila Velha,BR,80.55,-20.3297,-40.2925,Hotel Prainha
47,Kalmunai,LK,75.83,7.4167,81.8167,Saji new food
48,Castro,BR,72.52,-24.7911,-50.0119,Hotel Central Palace
50,Te Anau,NZ,68.18,-45.4167,167.7167,Lakeside Motels & Apartments
52,Atuona,PF,77.67,-9.8,-139.0333,Pearl Resort
60,Port Elizabeth,ZA,69.31,-33.918,25.5701,Waterford Hotel
62,Mahebourg,MU,78.26,-20.4081,57.7,Grand Bel Air
64,Bredasdorp,ZA,68.02,-34.5322,20.0403,Victoria Hotel
66,Sao Filipe,CV,71.62,14.8961,-24.4956,Bela Vista
68,Point Pedro,LK,77.61,9.8167,80.2333,Iru Lodge Guesthouse
70,Axim,GH,79.12,4.8699,-2.2405,Axim Beach Hotel
73,Bathsheba,BB,83.01,13.2167,-59.5167,Atlantis Hotel
74,Pacific Grove,US,58.41,36.6177,-121.9166,Pacific Grove Inn
75,Cabo San Lucas,MX,87.1,22.8909,-109.9124,Comfort Rooms
77,Rio Gallegos,AR,51.35,-51.6226,-69.2181,Amérian Río Gallegos Apart & Suites
83,Hermanus,ZA,66.79,-34.4187,19.2345,Aloe guest house
86,Itarema,BR,80.46,-2.9248,-39.9167,Pousada Oásis
87,Hualmay,PE,73.54,-11.0964,-77.6139,Hotel Mi Choacan
88,Coquimbo,CL,71.33,-29.9533,-71.3436,Hotel Iberia
89,Bocas Del Toro,PA,80.38,9.3333,-82.25,B&B Surfari
90,Cape Town,ZA,70.09,-33.9258,18.4232,Townhouse Hotel
93,La Mesa,US,73.56,32.7678,-117.0231,Holiday Inn San Diego - La Mesa
94,Sinnamary,GF,76.78,5.3833,-52.95,Hôtel du fleuve
104,Mandera,KE,86.9,3.9366,41.867,Kornesh Hotel and Lodging
105,Fukue,JP,49.84,32.6881,128.8419,五島第一ホテル
110,Hilo,US,80.26,19.7297,-155.09,Dolphin Bay Hotel
112,Meulaboh,ID,75.15,4.1363,96.1285,Hotel Meuligou
113,Jalu,LY,56.46,29.0331,21.5482,فندق جالو السياحي
116,Puerto Del Rosario,ES,71.35,28.5004,-13.8627,Hotel Tamasite
117,Katsuura,JP,46.26,35.1333,140.3,潮騒の宿
118,Uruapan,MX,69.42,19.4167,-102.0667,Hotel Real de Uruapan
120,Atar,MR,65.28,20.5169,-13.0499,فندق سكليل
121,San Quintin,MX,67.59,30.4833,-115.95,Jardines Hotel
123,Vaini,TO,77.16,-21.2,-175.2,Keleti International Resort
124,Sulangan,PH,79.02,11.1373,123.7228,Marion's Inn
125,Hollister,US,58.69,36.8525,-121.4016,Joshua Inn Bed & Breakfast
126,Saint-Philippe,RE,76.59,-21.3585,55.7679,Le Baril
127,Cockburn Town,TC,82.36,21.4612,-71.1419,The Salt Raker Inn
128,Mar Del Plata,AR,83.82,-38.0023,-57.5575,Nuevo Ostende
129,Algeciras,ES,62.28,36.1333,-5.4505,Hospedaje Lisboa
132,Vao,NC,78.13,-22.6667,167.4833,Nataiwatch
133,Taltal,CL,70.47,-25.4,-70.4833,Hostería Taltal
134,Kapit,MY,71.06,2.0167,112.9333,Haip
141,Soe,ID,65.86,-9.8607,124.284,DENA
143,Marawi,PH,67.46,7.9986,124.2928,Marawi Resort Hotel
144,Ryotsu,JP,43.45,38.0833,138.4333,佐渡グランドホテル
149,Rocha,UY,74.3,-34.4833,-54.3333,Hotel Municipal
152,Half Moon Bay,US,60.58,37.4636,-122.4286,Half Moon Bay Inn
153,Avarua,CK,82.45,-21.2078,-159.775,Paradise Inn
154,Liverpool,GB,48.15,53.4106,-2.9779,The Lord Nelson Hotel
156,Santa Maria,BR,74.5,-29.6842,-53.8069,Hotel Morotin
157,Buraydah,SA,48.65,26.326,43.975,دنا للوحدات السكنية
158,Mount Isa,AU,74.97,-20.7333,139.5,Ibis Styles
161,Sakaiminato,JP,40.98,35.55,133.2333,かぐら旅館
165,Rikitea,PF,77.86,-23.1203,-134.9692,Chez Bianca & Benoit
166,Maryville,US,44.74,35.7565,-83.9705,Main lodge
171,Ponta Do Sol,PT,67.12,32.6667,-17.1,Estalagem Ponta do Sol
173,Georgetown,MY,79.23,5.4112,100.3354,Page 63 hostel
174,Rio Grande,BR,77.11,-32.035,-52.0986,Hotel Vila Moura Executivo
175,Maxixe,MZ,75.2,-23.8597,35.3472,Hotel Herry
178,Tefe,BR,75.31,-3.3542,-64.7114,Hotel Montecarlo
