City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Esperance,AU,2022-12-27 20:33:29,-33.8667,121.9,57.6,61,19,6.15
1,Albany,US,2022-12-27 20:30:02,42.6001,-73.9662,31.37,57,71,7.16
2,East London,ZA,2022-12-27 20:30:09,-33.0153,27.9116,71.26,91,2,12.48
3,Avera,US,2022-12-27 20:33:31,33.194,-82.5271,53.65,55,0,4.23
4,Union,US,2022-12-27 20:30:38,40.6334,-74.2663,36.21,56,100,9.22
5,San Pedro Buenavista,MX,2022-12-27 20:33:31,16.0833,-93.1167,76.82,51,21,5.66
6,Mahibadhoo,MV,2022-12-27 20:33:32,3.7833,72.9667,80.76,75,94,4.56
7,Kloulklubed,PW,2022-12-27 20:33:32,7.0419,134.2556,82.18,75,74,5.68
8,Punta Arenas,CL,2022-12-27 20:31:53,-53.15,-70.9167,51.82,50,20,33.38
9,Hasaki,JP,2022-12-27 20:33:33,35.7333,140.8333,28.8,53,18,2.89
10,Okhotsk,RU,2022-12-27 20:33:33,59.3833,143.3,-6.47,76,3,19.22
11,Hobart,AU,2022-12-27 20:31:39,-42.8794,147.3294,80.46,51,0,17.27
12,Leningradskiy,RU,2022-12-27 20:33:34,69.3833,178.4167,-20.45,99,95,5.12
13,Tuktoyaktuk,CA,2022-12-27 20:32:51,69.4541,-133.0374,-27.4,68,40,4.61
14,Manokwari,ID,2022-12-27 20:33:35,-0.8667,134.0833,77.94,82,99,8.41
15,Jamestown,US,2022-12-27 20:33:35,42.097,-79.2353,25.02,84,100,9.22
16,Mataura,NZ,2022-12-27 20:33:36,-46.1927,168.8643,66.85,64,32,3.06
17,Ushuaia,AR,2022-12-27 20:31:42,-54.8,-68.3,46.02,87,75,24.16
18,Richards Bay,ZA,2022-12-27 20:33:36,-28.783,32.0377,69.85,94,1,6.82
19,Garowe,SO,2022-12-27 20:33:37,8.4054,48.4845,67.6,78,44,9.24
20,Kapaa,US,2022-12-27 20:33:37,22.0752,-159.319,79.12,82,100,12.66
21,Bengkulu,ID,2022-12-27 20:33:38,-3.8004,102.2655,75.9,87,100,4.43
22,Barrow,US,2022-12-27 20:32:47,71.2906,-156.7887,-5.78,77,0,24.16
