City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Ushuaia,AR,2022-12-20 19:27:24,-54.8,-68.3,56.86,54,40,4.61
1,Chandbali,IN,2022-12-20 19:27:24,20.7833,86.7667,62.47,60,9,3.56
2,Dikson,RU,2022-12-20 19:27:25,73.5069,80.5464,-3.32,94,100,8.7
3,Flin Flon,CA,2022-12-20 19:27:25,54.7682,-101.865,-13.16,64,20,6.91
4,Mataura,NZ,2022-12-20 19:27:26,-46.1927,168.8643,50.34,77,100,4.03
5,Nioro,GM,2022-12-20 19:27:27,13.35,-15.75,83.93,13,0,8.08
6,Bethel,US,2022-12-20 19:27:27,41.3712,-73.414,39.63,57,0,13.8
7,Rikitea,PF,2022-12-20 19:23:11,-23.1203,-134.9692,76.44,87,100,18.97
8,Chuy,UY,2022-12-20 19:22:53,-33.6971,-53.4616,74.86,54,0,14.56
9,Busselton,AU,2022-12-20 19:27:29,-33.65,115.3333,59.4,79,14,10.67
10,Kapaa,US,2022-12-20 19:27:29,22.0752,-159.319,75.52,71,0,8.05
11,Esperance,AU,2022-12-20 19:27:30,-33.8667,121.9,59.81,90,12,7.52
12,Pangody,RU,2022-12-20 19:27:30,65.85,74.4859,-16.89,95,100,14.2
13,Albany,US,2022-12-20 19:23:45,42.6001,-73.9662,32.23,69,47,3.0
14,Fairbanks,US,2022-12-20 19:25:52,64.8378,-147.7164,-36.44,69,20,0.0
15,Korsor,DK,2022-12-20 19:27:31,55.3299,11.1386,41.99,100,100,15.9
16,Saskylakh,RU,2022-12-20 19:27:32,71.9167,114.0833,-37.64,94,7,7.05
17,Kenai,US,2022-12-20 19:25:43,60.5544,-151.2583,-2.85,76,0,4.61
18,Puerto Ayora,EC,2022-12-20 19:27:32,-0.7393,-90.3518,82.36,87,77,8.01
19,East London,ZA,2022-12-20 19:27:33,-33.0153,27.9116,66.81,68,98,14.14
20,Vestmannaeyjar,IS,2022-12-20 19:27:33,63.4427,-20.2734,35.56,53,100,25.08
21,Mehamn,NO,2022-12-20 19:27:34,71.0357,27.8492,22.95,63,0,6.91
22,Haines Junction,CA,2022-12-20 19:27:34,60.7522,-137.5108,-41.85,66,100,1.14
23,Hilo,US,2022-12-20 19:24:46,19.7297,-155.09,79.25,77,40,3.44
24,Mahebourg,MU,2022-12-20 19:27:35,-20.4081,57.7,76.24,73,40,6.91
25,Mahasamund,IN,2022-12-20 19:27:36,21.1,82.1,61.77,38,30,2.21
26,Ponta Do Sol,PT,2022-12-20 19:27:36,32.6667,-17.1,70.0,88,20,3.38
27,Marystown,CA,2022-12-20 19:27:36,47.1666,-55.1483,36.25,76,100,22.64
28,Lebu,CL,2022-12-20 19:27:37,-37.6167,-73.65,65.26,73,73,14.94
29,Cockburn Town,TC,2022-12-20 19:27:37,21.4612,-71.1419,82.36,61,40,11.5
30,Inirida,CO,2022-12-20 19:27:38,3.8653,-67.9239,89.26,48,99,3.22
31,Charleston,US,2022-12-20 19:23:43,32.7766,-79.9309,47.01,94,100,11.5
32,Chokurdakh,RU,2022-12-20 19:27:39,70.6333,147.9167,-8.27,100,67,2.24
33,Am Timan,TD,2022-12-20 19:27:39,11.0297,20.2827,80.55,19,29,2.98
34,Vao,NC,2022-12-20 19:27:40,-22.6667,167.4833,73.98,88,100,19.71
35,Yellowknife,CA,2022-12-20 19:27:40,62.456,-114.3525,-32.28,75,20,5.75
36,Guangyuan,CN,2022-12-20 19:27:41,32.442,105.823,38.98,44,0,1.12
37,Tuktoyaktuk,CA,2022-12-20 19:27:41,69.4541,-133.0374,-13.0,77,75,9.22
38,Longyearbyen,SJ,2022-12-20 19:27:42,78.2186,15.6401,10.24,79,75,9.22
39,Las Palmas,ES,2022-12-20 19:27:42,28.4204,-14.0131,65.19,60,0,6.91
40,Hobart,AU,2022-12-20 19:27:06,-42.8794,147.3294,55.26,81,100,8.05
41,Mount Gambier,AU,2022-12-20 19:28:43,-37.8333,140.7667,62.29,41,90,7.85
42,Ribeira Grande,PT,2022-12-20 19:28:43,38.5167,-28.7,64.8,94,75,21.85
43,Fukue,JP,2022-12-20 19:25:28,32.6881,128.8419,54.68,68,100,15.41
44,Gazojak,TM,2022-12-20 19:28:44,41.1875,61.4036,36.73,37,100,9.33
45,Victoria,HK,2022-12-20 19:27:15,22.2855,114.1577,64.26,66,100,5.99
46,Avarua,CK,2022-12-20 19:28:45,-21.2078,-159.775,75.25,94,75,5.75
47,Biltine,TD,2022-12-20 19:26:07,14.5333,20.9167,75.9,23,34,7.02
48,Bluff,NZ,2022-12-20 19:28:45,-46.6,168.3333,51.04,72,100,11.72
49,Moron,AR,2022-12-20 19:28:46,-34.6534,-58.6198,89.94,49,17,10.38
50,Alindao,CF,2022-12-20 19:28:46,5.0267,21.2088,80.1,38,56,4.03
51,Clyde River,CA,2022-12-20 19:28:46,70.4692,-68.5914,-10.97,77,0,3.44
52,Narrabri,AU,2022-12-20 19:28:47,-30.3167,149.7833,55.53,76,0,1.99
53,Hasaki,JP,2022-12-20 19:28:48,35.7333,140.8333,37.22,51,80,2.01
54,Butaritari,KI,2022-12-20 19:28:48,3.0707,172.7902,81.32,79,100,16.87
55,Qaanaaq,GL,2022-12-20 19:28:48,77.484,-69.3632,-17.09,70,8,5.86
56,Jamestown,US,2022-12-20 19:28:49,42.097,-79.2353,32.18,43,100,3.44
57,Aswan,EG,2022-12-20 19:28:50,24.0934,32.907,74.5,28,0,5.75
58,Estacion Coahuila,MX,2022-12-20 19:28:50,32.1939,-115.0017,62.51,15,100,10.11
59,Torbay,CA,2022-12-20 19:28:51,47.6666,-52.7314,35.58,89,100,25.32
60,Kupang,ID,2022-12-20 19:28:51,-10.1667,123.5833,80.22,74,100,7.96
